"Status","Score","Match_type","Match_addr","Side","Ref_ID","User_fld","Addr_type","ARC_Street","ARC_City","ARC_State","ARC_ZIP","Status_1","Score_1","Match_ty_1","Match_ad_1","Side_1","Ref_ID_1","User_fld_1","Addr_typ_1","ARC_Stre_1","ARC_City_1","ARC_ZIP_1","Supermarke","Location","City","State","ZipCode"
"M",87.14,"A","3747 Milton Ave, Camillus, 36, 13031","L",477434191,"0","StreetAddress",NA,NA,"New York",NA,"M",100,"A","3747 Milton Ave, Camillus, 13031","L",477434191,"0","StreetAddress","3747 Milton Ave.","Camillus","13031","Aldi - Camillus","3747 Milton Ave.","Camillus","New York",13031
"M",87.14,"A","71 Nelson St, Cazenovia, 36, 13035","R",477698721,"0","StreetAddress",NA,NA,"New York",NA,"M",100,"A","71 Nelson St, Cazenovia, 13035","L",477698721,"0","StreetAddress","71 Nelson St.","Cazenovia","13035","Tops - Cazenovia","71 Nelson St.","Cazenovia","New York",13035
"M",76.19,"M","2265 Downer Street Rd, Baldwinsville, 36, 13027","R",477417550,"0","StreetAddress",NA,NA,"NEW YORK",NA,"M",89.04,"A","2265 Downer Street Rd, Baldwinsville, 13027","L",477417550,"0","StreetAddress","2265 DOWNER ST.","BALDWINSVILLE","13027","Tops - Baldwinsville","2265 Downer St.","Baldwinsville","36",13027
"M",82.38,"M","8417 Oswego Rd, Baldwinsville, 36, 13027","R",477414721,"0","StreetAddress",NA,NA,"NEW YORK",NA,"M",94.44,"A","8417 Oswego Rd, Baldwinsville, 13027","L",477414721,"0","StreetAddress","8417 OSWEGO RD.","CLAY","13027","Tops - Clay","8417 Oswego Rd.","Baldwinsville","36",13027
"M",87.14,"A","800 W Genesee St, Chittenango, 36, 13037","L",477696104,"0","StreetAddress",NA,NA,"New York",NA,"M",100,"A","800 W Genesee St, Chittenango, 13037","R",477696104,"0","StreetAddress","800 W. Genesee St.","Chittenango","13037","Tops - Chittenango","800 W. Genesee St.","Chittenango","New York",13037
"M",100,"PP",NA,NA,0,NA,NA,NA,NA,"NEW YORK",NA,"M",100,"A","5962 State Route 31, Cicero, 13039","R",477414862,"0","StreetAddress","5962 STATE ROUTE 31","CICERO","13039","Aldi - Cicero","5962 State Route 31",NA,NA,13039
"M",86.27,"M","6438 Basile Rowe, East Syracuse, 36, 13057","R",477431171,"0","StreetAddress",NA,NA,"NEW YORK",NA,NA,0,NA,NA,NA,0,NA,NA,"6438 BASILE ROWE","SYRACUSE","13057","Walmart Supercenter - East Syracuse","6438 Basile Rowe","East Syracuse","36",13057
"U",0,"A",NA,NA,-1,NA,NA,NA,NA,"New York",NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,"Walmart Supercenter -Syracuse","6438 Basile Rowe","Syracuse","New York",13057
"M",87.14,"A","5701 E Circle Dr, Cicero, 36, 13039","L",509996644,"0","StreetAddress",NA,NA,"New York",NA,"M",100,"A","5701 E Circle Dr, Cicero, 13039","L",509996644,"0","StreetAddress","5701 East Circle Dr.","Cicero","13039","Price Chopper - Cicero","5701 East Circle Dr.","Cicero","New York",13039
"M",87.14,"A","227 E Main St, Elbridge, 36, 13060","L",477439594,"0","StreetAddress",NA,NA,"New York",NA,"M",100,"A","227 E Main St, Elbridge, 13060","L",477439594,"0","StreetAddress","227 East Main St.","Elbridge","13060","Tops - Elbridge","227 East Main St.","Elbridge","New York",13060
"M",87.14,"A","5335 W Genesee St, Camillus, 36, 13031","L",477437983,"0","StreetAddress",NA,NA,"New York",NA,"M",100,"A","5335 W Genesee St, Camillus, 13031","L",600060274,"0","StreetAddress","5335 West Genesee Street","Camillus","13031","Tops - Camillus","5335 West Genesee Street","Camillus","New York",13031
"M",87.14,"A","5351 N Burdick St, Fayetteville, 36, 13066","L",477441386,"0","StreetAddress",NA,NA,"New York",NA,"M",100,"A","5351 N Burdick St, Fayetteville, 13066","L",477441386,"0","StreetAddress","5351 N. Burdick St.","Fayetteville","13066","Tops - Fayetteville","5351 N. Burdick St.","Fayetteville","New York",13066
"M",86.27,"M","4256 James St, East Syracuse, 36, 13057","R",477429634,"0","StreetAddress",NA,NA,"NEW YORK",NA,"M",98.98,"A","4256 James St, East Syracuse, 13057","R",477429634,"0","StreetAddress","4256 JAMES ST.","SYRACUSE","13057","Wegmans - James St.","4256 James St.","East Syracuse","36",13057
"M",87.14,"A","7952 Brewerton Rd, Cicero, 36, 13039","R",477417282,"0","StreetAddress",NA,NA,"New York",NA,"M",100,"A","7952 Brewerton Rd, Cicero, 13039","R",477417282,"0","StreetAddress","7952 Brewerton Road","Cicero","13039","Wegmans - Cicero","7952 Brewerton Road","Cicero","New York",13039
"M",87.14,"A","9 Mechanic St, Jordan, 36, 13080","L",477430529,"0","StreetAddress",NA,NA,"New York",NA,"M",100,"A","9 Mechanic St, Jordan, 13080","L",477430529,"0","StreetAddress","9 Mechanic St.","Jordan","13080","Tops - Jordan","9 Mechanic St.","Jordan","New York",13080
"M",87.14,"A","327 1st St, Liverpool, 36, 13088","L",477424336,"0","StreetAddress",NA,NA,"New York",NA,"M",100,"A","327 1st St, Liverpool, 13088","L",477424336,"0","StreetAddress","327 1st Street","Liverpool","13088","Nichol's Supermarkets Inc.","327 1st Street","Liverpool","New York",13088
"M",87.14,"A","5399 W Genesee St, Camillus, 36, 13031","L",477437985,"0","StreetAddress",NA,NA,"New York",NA,"M",100,"A","5399 W Genesee St, Camillus, 13031","L",477437985,"0","StreetAddress","5399 W Genesee St.","Camillus","13031","Walmart Supercenter - Camillus","5399 W Genesee St.","Camillus","New York",13031
"M",82.32,"M","340 Towne Dr, Fayetteville, 36, 13066","R",477440259,"0","StreetAddress",NA,NA,"NEW YORK",NA,"M",94.37,"A","340 Towne Dr, Fayetteville, 13066","R",477440259,"0","StreetAddress","340 TOWNE DR.","SYRACUSE","13066","Target - Fayetteville","340 Towne Dr.","Fayetteville","36",13066
